Day fraction since midnight on 	pH probe (pH)	air slope ()	air valve control ()	
0.603985698	6.646048069	0	NaN
0.603997255	6.69272089	0	NaN
0.604008832	6.676749706	0	NaN
0.604020425	6.654945374	0	NaN
0.604031973	6.658332348	0	NaN
0.604043563	6.647809029	0	NaN
0.604055135	6.630667687	0	NaN
0.604066695	6.596093655	0	NaN
0.604078263	6.625793934	0	NaN
0.604089844	6.627743721	0	NaN
0.604101424	6.624343872	0	NaN
0.604113019	6.671628952	0	NaN
0.604124572	6.620803356	0	NaN
0.604136162	6.65942955	0	NaN
0.604147729	6.621682167	0	NaN
0.604159326	6.627554894	0	NaN
0.604170868	6.604575157	0	NaN
0.604182451	6.653310776	0	NaN
0.604194004	6.597966671	0	NaN
0.604205578	6.644768715	0	NaN
0.604217194	6.604453564	0	NaN
0.604228741	6.616146565	0	NaN
0.60424032	6.600234032	0	NaN
0.604251898	6.637506962	0	NaN
0.604263468	6.596804142	0	NaN
0.604275041	6.636198998	0	NaN
0.604286623	6.620224476	0	NaN
0.604298185	6.629103184	0	NaN
0.60430975	6.589280605	0	NaN
0.604321339	6.598450661	0	NaN
0.604332911	6.578936577	0	NaN
0.604344483	6.583828449	0	NaN
0.604356062	6.599380016	0	NaN
0.604367616	6.614820004	0	NaN
0.604379189	6.608807564	0	NaN		
0.604390779	6.575010777	0	NaN
0.604402348	6.559966087	0	NaN
0.604413936	6.551589012	0	NaN
0.604425489	6.577638626	0	NaN
0.604437091	6.54278183	0	NaN
0.604448643	6.583955288	0	NaN
0.604460226	6.536527157	0	NaN
0.604471807	6.581292152	0	NaN
0.604483375	6.533008575	0	NaN
0.604494938	6.565670013	0	NaN
0.604506533	6.521307468	0	NaN
0.604518097	6.575705528	0	NaN
0.60452967	6.520482063	0	NaN
0.604541245	6.551210403	0	NaN
0.604552821	6.523661614	0	NaN
0.60456439	6.559025288	0	NaN
0.604575966	6.532211304	0	NaN
0.604587541	6.543967247	0	NaN
0.6045991	6.524219036	0	NaN
0.604610691	6.537249565	0	NaN
0.604622266	6.514919758	0	NaN
0.604633819	6.518865109	0	NaN
0.604645399	6.498473167	0	NaN
0.604656972	6.569007874	0	NaN
0.604668543	6.5348382	0	NaN
0.604680126	6.484622955	0	NaN
0.60469169	6.497163773	0	NaN
0.604703285	6.496687889	0	NaN
0.604714839	6.509852409	0	NaN
0.604726414	6.483825684	0	NaN
0.604738017	6.53316164	0	NaN
0.604749574	6.471004963	0	NaN
0.604761141	6.525136471	0	NaN
0.604772738	6.476622105	0	NaN
0.604784287	6.517993927	0	NaN
0.604795854	6.462843418	0	NaN
0.604807433	6.511473656	0	NaN
0.604819003	6.467639446	0	NaN
0.604830597	6.519773006	0	NaN
0.604842174	6.464345932	0	NaN
0.604853739	6.505475044	0	NaN
0.604865322	6.467576981	0	NaN
0.604876894	6.477018833	0	NaN
0.604888468	6.465168476	0	NaN
0.604900024	6.476186276	0	NaN
0.604911606	6.474453449	0	NaN
0.604923194	6.477094173	0	NaN
0.604934763	6.477043629	0	NaN
0.604946339	6.464463711	0	NaN
0.604957895	6.483985424	0	NaN
0.604969483	6.463470936	0	NaN
0.604981074	6.464171886	0	NaN
0.60499262	6.417709827	0	NaN
0.605004209	6.369550705	0	NaN
0.605015777	6.437512875	0	NaN
0.605027339	6.492302418	0	NaN
0.605038912	6.45016098	0	NaN
0.605050501	6.502647877	0	NaN
0.605062091	6.436041355	0	NaN
0.605073642	6.489579201	0	NaN
0.605085224	6.397648335	0	NaN
0.605096802	6.464188576	0	NaN
0.60510837	6.420693874	0	NaN
0.605119933	6.452549934	0	NaN
0.605131515	6.422754288	0	NaN
0.605143097	6.421694279	0	NaN
0.605154672	6.409749031	0	NaN
0.60516626	6.426604748	0	NaN
0.605177812	6.401622295	0	NaN
0.605189403	6.402040958	0	NaN
0.605200949	6.418218136	0	NaN
0.605212535	6.444909573	0	NaN
0.605224101	6.416156292	0	NaN
0.605235685	6.392501354	0	NaN
0.605247261	6.411886692	0	NaN
0.605258824	6.380379677	0	NaN
0.605270394	6.411043167	0	NaN
0.605281992	6.384235859	0	NaN
0.605293544	6.411697388	0	NaN
0.605305129	6.366806984	0	NaN
